"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Size"
"52",6.4,3.2,4.5,1.5,"versicolor","Large"
"53",6.9,3.1,4.9,1.5,"versicolor","Large"
"54",5.5,2.3,4,1.3,"versicolor","Medium"
"55",6.5,2.8,4.6,1.5,"versicolor","Large"
"56",5.7,2.8,4.5,1.3,"versicolor","Medium"
"57",6.3,3.3,4.7,1.6,"versicolor","Large"
"58",4.9,2.4,3.3,1,"versicolor","Small"
"59",6.6,2.9,4.6,1.3,"versicolor","Large"
"60",5.2,2.7,3.9,1.4,"versicolor","Medium"
"61",5,2,3.5,1,"versicolor","Medium"
"62",5.9,3,4.2,1.5,"versicolor","Medium"
"63",6,2.2,4,1,"versicolor","Large"
"64",6.1,2.9,4.7,1.4,"versicolor","Large"
"65",5.6,2.9,3.6,1.3,"versicolor","Medium"
"66",6.7,3.1,4.4,1.4,"versicolor","Large"
"67",5.6,3,4.5,1.5,"versicolor","Medium"
"68",5.8,2.7,4.1,1,"versicolor","Medium"
"69",6.2,2.2,4.5,1.5,"versicolor","Large"
"70",5.6,2.5,3.9,1.1,"versicolor","Medium"
"71",5.9,3.2,4.8,1.8,"versicolor","Medium"
"72",6.1,2.8,4,1.3,"versicolor","Large"
"73",6.3,2.5,4.9,1.5,"versicolor","Large"
"74",6.1,2.8,4.7,1.2,"versicolor","Large"
"75",6.4,2.9,4.3,1.3,"versicolor","Large"
"76",6.6,3,4.4,1.4,"versicolor","Large"
"77",6.8,2.8,4.8,1.4,"versicolor","Large"
"78",6.7,3,5,1.7,"versicolor","Large"
"79",6,2.9,4.5,1.5,"versicolor","Large"
"80",5.7,2.6,3.5,1,"versicolor","Medium"
"81",5.5,2.4,3.8,1.1,"versicolor","Medium"
"82",5.5,2.4,3.7,1,"versicolor","Medium"
"83",5.8,2.7,3.9,1.2,"versicolor","Medium"
"84",6,2.7,5.1,1.6,"versicolor","Large"
"85",5.4,3,4.5,1.5,"versicolor","Medium"
"86",6,3.4,4.5,1.6,"versicolor","Large"
"87",6.7,3.1,4.7,1.5,"versicolor","Large"
"88",6.3,2.3,4.4,1.3,"versicolor","Large"
"89",5.6,3,4.1,1.3,"versicolor","Medium"
"90",5.5,2.5,4,1.3,"versicolor","Medium"
"91",5.5,2.6,4.4,1.2,"versicolor","Medium"
"92",6.1,3,4.6,1.4,"versicolor","Large"
"93",5.8,2.6,4,1.2,"versicolor","Medium"
"94",5,2.3,3.3,1,"versicolor","Medium"
"95",5.6,2.7,4.2,1.3,"versicolor","Medium"
"96",5.7,3,4.2,1.2,"versicolor","Medium"
"97",5.7,2.9,4.2,1.3,"versicolor","Medium"
"98",6.2,2.9,4.3,1.3,"versicolor","Large"
"99",5.1,2.5,3,1.1,"versicolor","Medium"
"100",5.7,2.8,4.1,1.3,"versicolor","Medium"
"101",6.3,3.3,6,2.5,"virginica","Large"
"102",5.8,2.7,5.1,1.9,"virginica","Medium"
"103",7.1,3,5.9,2.1,"virginica","Large"
"104",6.3,2.9,5.6,1.8,"virginica","Large"
"105",6.5,3,5.8,2.2,"virginica","Large"
"106",7.6,3,6.6,2.1,"virginica","Large"
"107",4.9,2.5,4.5,1.7,"virginica","Small"
"108",7.3,2.9,6.3,1.8,"virginica","Large"
"109",6.7,2.5,5.8,1.8,"virginica","Large"
"110",7.2,3.6,6.1,2.5,"virginica","Large"
"111",6.5,3.2,5.1,2,"virginica","Large"
"112",6.4,2.7,5.3,1.9,"virginica","Large"
"113",6.8,3,5.5,2.1,"virginica","Large"
"114",5.7,2.5,5,2,"virginica","Medium"
"115",5.8,2.8,5.1,2.4,"virginica","Medium"
"116",6.4,3.2,5.3,2.3,"virginica","Large"
"117",6.5,3,5.5,1.8,"virginica","Large"
"118",7.7,3.8,6.7,2.2,"virginica","Large"
"119",7.7,2.6,6.9,2.3,"virginica","Large"
"120",6,2.2,5,1.5,"virginica","Large"
"121",6.9,3.2,5.7,2.3,"virginica","Large"
"122",5.6,2.8,4.9,2,"virginica","Medium"
"123",7.7,2.8,6.7,2,"virginica","Large"
"124",6.3,2.7,4.9,1.8,"virginica","Large"
"125",6.7,3.3,5.7,2.1,"virginica","Large"
"126",7.2,3.2,6,1.8,"virginica","Large"
"127",6.2,2.8,4.8,1.8,"virginica","Large"
"128",6.1,3,4.9,1.8,"virginica","Large"
"129",6.4,2.8,5.6,2.1,"virginica","Large"
"130",7.2,3,5.8,1.6,"virginica","Large"
"131",7.4,2.8,6.1,1.9,"virginica","Large"
"132",7.9,3.8,6.4,2,"virginica","Large"
"133",6.4,2.8,5.6,2.2,"virginica","Large"
"134",6.3,2.8,5.1,1.5,"virginica","Large"
"135",6.1,2.6,5.6,1.4,"virginica","Large"
"136",7.7,3,6.1,2.3,"virginica","Large"
"137",6.3,3.4,5.6,2.4,"virginica","Large"
"138",6.4,3.1,5.5,1.8,"virginica","Large"
"139",6,3,4.8,1.8,"virginica","Large"
"140",6.9,3.1,5.4,2.1,"virginica","Large"
"141",6.7,3.1,5.6,2.4,"virginica","Large"
"142",6.9,3.1,5.1,2.3,"virginica","Large"
"143",5.8,2.7,5.1,1.9,"virginica","Medium"
"144",6.8,3.2,5.9,2.3,"virginica","Large"
"145",6.7,3.3,5.7,2.5,"virginica","Large"
"146",6.7,3,5.2,2.3,"virginica","Large"
"147",6.3,2.5,5,1.9,"virginica","Large"
"148",6.5,3,5.2,2,"virginica","Large"
"149",6.2,3.4,5.4,2.3,"virginica","Large"
"150",5.9,3,5.1,1.8,"virginica","Medium"
